File Name, Expanded States, Plan Length
output_prob00, 23, 22
output_prob01, 28, 27
output_prob02, 33, 32
output_prob03, 56, 55
output_prob04, 61, 60
output_prob05, 23, 22
output_prob06, 73, 72
output_prob07, 35, 34
output_prob08, 43, 42
output_prob09, 88, 87
output_prob10, 110, 109
output_prob11, 32, 31
output_prob12, 42, 41
output_prob13, 68, 67
output_prob14, 99, 98
output_prob15, 102, 101
output_prob16, 63, 62
output_prob17, 48, 47
output_prob18, 173, 172
output_prob19, 160, 159
output_prob20, 151, 150
output_prob21, 102, 101
output_prob22, 308, 307
output_prob23, 121, 120
output_prob24, 42, 41
output_prob25, 193, 192
output_prob26, 204, 203
output_prob27, 155, 154
output_prob28, 284, 283
output_prob29, 341, 340
output_prob30, 139, 138
output_prob31, 14, 13
output_prob32, 24, 23
output_prob33, 31, 30
output_prob34, 49, 48
output_prob35, 31, 30
